"latitude","longitude","chargerName","date","vehicle","rating"
"38.251625","-85.643013","Jeff Wyler Nissan","2019-08-10T14:53:56Z","Nissan LEAF 2019","1"
"38.251625","-85.643013","Jeff Wyler Nissan","2019-08-01T19:03:42Z","Honda Clarity Plug-In Hybrid","1"
"38.251625","-85.643013","Jeff Wyler Nissan","2019-07-05T14:41:08Z","Toyota Prius Prime","1"
"38.251625","-85.643013","Jeff Wyler Nissan","2019-06-15T14:43:16Z","Honda Clarity Plug-In Hybrid","1"
"38.251625","-85.643013","Jeff Wyler Nissan","2019-06-14T15:39:26Z","Toyota Prius Prime","1"
"38.251625","-85.643013","Jeff Wyler Nissan","2019-06-06T13:23:04Z","Toyota Prius Prime","1"
"38.251625","-85.643013","Jeff Wyler Nissan","2019-04-13T15:49:50Z","Honda Clarity Plug-In Hybrid","1"
"38.251625","-85.643013","Jeff Wyler Nissan","2019-04-05T15:30:25Z","Toyota Prius Prime","1"
"38.251625","-85.643013","Jeff Wyler Nissan","2019-03-29T09:26:02Z","Chevrolet Bolt EV","1"
"38.251625","-85.643013","Jeff Wyler Nissan","2019-03-02T17:51:00Z","Nissan LEAF 2018","1"
"38.251625","-85.643013","Jeff Wyler Nissan","2019-01-29T17:35:53Z","Toyota Prius Prime","1"
"38.251625","-85.643013","Jeff Wyler Nissan","2019-01-12T21:37:45Z","Chevrolet Volt","1"
"38.251625","-85.643013","Jeff Wyler Nissan","2019-01-06T18:29:25Z","Toyota Prius Prime","1"
"38.251625","-85.643013","Jeff Wyler Nissan","2018-12-30T18:17:55Z","Toyota Prius Prime","1"
"38.251625","-85.643013","Jeff Wyler Nissan","2018-12-16T17:45:54Z","Toyota Prius Prime","1"
"38.251625","-85.643013","Jeff Wyler Nissan","2018-12-15T16:39:17Z","Honda Clarity Plug-In Hybrid","1"
"38.251625","-85.643013","Jeff Wyler Nissan","2018-12-08T15:50:19Z","Honda Clarity Plug-In Hybrid","1"
"38.251625","-85.643013","Jeff Wyler Nissan","2018-12-06T19:26:12Z","Toyota Prius Prime","1"
"38.251625","-85.643013","Jeff Wyler Nissan","2018-12-02T18:56:34Z","Toyota Prius Prime","1"
"38.251625","-85.643013","Jeff Wyler Nissan","2018-11-29T19:39:21Z","Toyota Prius Prime","1"
"38.251625","-85.643013","Jeff Wyler Nissan","2018-11-24T15:45:35Z","Honda Clarity Plug-In Hybrid","1"
"38.251625","-85.643013","Jeff Wyler Nissan","2018-10-20T14:58:43Z","Honda Clarity Plug-In Hybrid","1"
"38.251625","-85.643013","Jeff Wyler Nissan","2018-10-17T01:01:58Z","Nissan LEAF 2016","1"
